RunNo,InstanceId,Time,Exp Scenario,VM Type,Avg Latency,Avg Throughput
run_3,i-01117dcf051de4b99,WedJul2821:37:55UTC2021,case_1,primary,138,85661
run_2,i-02206028b0354f030,WedJul2821:14:13UTC2021,case_1,primary,124,93929
run_1,i-0489225b2ec379f94,WedJul2820:50:33UTC2021,case_1,primary,126,90244
run_2,i-006c9192f49a2aa0c,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_1,i-015e8bf544bf7cb6a,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_3,i-0194018b1e8eff575,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_1,i-01f6fad9660f5f88f,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_1,i-0245cf9269e328e3a,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_1,i-03e859d5481c90faf,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_2,i-0405dc550c8dd7b86,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_1,i-0457a18d975ebaf0e,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_3,i-048f80a6c5e0e00d6,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_2,i-04aaa2fd0046d9b11,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_1,i-056ae7d77dc486ed8,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_1,i-05de1c6da8e20d84a,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_2,i-060061c093f0aa0bf,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_3,i-066a9329543c8c397,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_2,i-07a75ade569b34a38,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_3,i-08a627f41161fc9b7,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_2,i-08f32478488432480,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_3,i-0a378a57a7d41bec3,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_1,i-0aaabb9588388a6ab,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_2,i-0add2910ea79961ff,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_3,i-0b308392cf2f7bd04,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_3,i-0b5396f7cee87fc52,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_3,i-0b9873074bbdab581,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_2,i-0be3da9768b08729f,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_2,i-0cc46adef216c84ff,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_2,i-0ddedb50268270eba,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_3,i-0e2ca6572599528b4,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_1,i-0e3724aa3a11c69ca,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_2,i-0ed4dcb03403f371f,WedJul2821:14:15UTC2021,case_1,secondary,0,0
run_3,i-0f7e738982ab91183,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_1,i-0fcb5a984be079d75,WedJul2820:50:35UTC2021,case_1,secondary,0,0
run_3,i-0fcf069e0eacadf0d,WedJul2821:37:54UTC2021,case_1,secondary,0,0
run_1,i-0ff29de06ec815982,WedJul2820:50:35UTC2021,case_1,secondary,0,0
